id,label
Physics and Astronomy ,Physics and Astronomy 
Materials Science ,Materials Science 
Chemistry ,Chemistry 
Agricultural and Biological Sciences ,Agricultural and Biological Sciences 
"Pharmacology, Toxicology and Pharmaceutics ","Pharmacology, Toxicology and Pharmaceutics "
"Biochemistry, Genetics and Molecular Biology ","Biochemistry, Genetics and Molecular Biology "
Chemical Engineering ,Chemical Engineering 
Environmental Science ,Environmental Science 
Engineering ,Engineering 
Medicine ,Medicine 
Social Sciences ,Social Sciences 
Energy ,Energy 
Mathematics ,Mathematics 
Computer Science ,Computer Science 
Earth and Planetary Sciences ,Earth and Planetary Sciences 
Psychology ,Psychology 
Multidisciplinary,Multidisciplinary
Arts and Humanities ,Arts and Humanities 
"Economics, Econometrics and Finance ","Economics, Econometrics and Finance "
Immunology and Microbiology ,Immunology and Microbiology 
Neuroscience ,Neuroscience 
Nursing ,Nursing 
"Business, Management and Accounting ","Business, Management and Accounting "
Health Professions ,Health Professions 
Decision Sciences ,Decision Sciences 
Veterinary ,Veterinary 
Dentistry ,Dentistry 
